==================================================
AFFINITY COMBINATIONS SUMMARY
Total Unique Combinations to Test: 116
P-Cores Available: 8, E-Cores Available: 12
==================================================
Index | P-Cores | E-Cores | Total | Combination (Representative)
--------------------------------------------------
0     | 0       | 1       | 1     | [2]
1     | 0       | 2       | 2     | [2, 3]
2     | 0       | 3       | 3     | [2, 3, 4]
3     | 0       | 4       | 4     | [2, 3, 4, 5]
4     | 0       | 5       | 5     | [2, 3, 4, 5, 10]
5     | 0       | 6       | 6     | [2, 3, 4, 5, 10, 11]
6     | 0       | 7       | 7     | [2, 3, 4, 5, 10, 11, 12]
7     | 0       | 8       | 8     | [2, 3, 4, 5, 10, 11, 12, 13]
8     | 0       | 9       | 9     | [2, 3, 4, 5, 10, 11, 12, 13, 14]
9     | 0       | 10      | 10    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
10    | 0       | 11      | 11    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
11    | 0       | 12      | 12    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
12    | 1       | 0       | 1     | [0]
13    | 1       | 1       | 2     | [0, 2]
14    | 1       | 2       | 3     | [0, 2, 3]
15    | 1       | 3       | 4     | [0, 2, 3, 4]
16    | 1       | 4       | 5     | [0, 2, 3, 4, 5]
17    | 1       | 5       | 6     | [0, 2, 3, 4, 5, 10]
18    | 1       | 6       | 7     | [0, 2, 3, 4, 5, 10, 11]
19    | 1       | 7       | 8     | [0, 2, 3, 4, 5, 10, 11, 12]
20    | 1       | 8       | 9     | [0, 2, 3, 4, 5, 10, 11, 12, 13]
21    | 1       | 9       | 10    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14]
22    | 1       | 10      | 11    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
23    | 1       | 11      | 12    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
24    | 1       | 12      | 13    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
25    | 2       | 0       | 2     | [0, 1]
26    | 2       | 1       | 3     | [0, 1, 2]
27    | 2       | 2       | 4     | [0, 1, 2, 3]
28    | 2       | 3       | 5     | [0, 1, 2, 3, 4]
29    | 2       | 4       | 6     | [0, 1, 2, 3, 4, 5]
30    | 2       | 5       | 7     | [0, 1, 2, 3, 4, 5, 10]
31    | 2       | 6       | 8     | [0, 1, 2, 3, 4, 5, 10, 11]
32    | 2       | 7       | 9     | [0, 1, 2, 3, 4, 5, 10, 11, 12]
33    | 2       | 8       | 10    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13]
34    | 2       | 9       | 11    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14]
35    | 2       | 10      | 12    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
36    | 2       | 11      | 13    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
37    | 2       | 12      | 14    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
38    | 3       | 0       | 3     | [0, 1, 6]
39    | 3       | 1       | 4     | [0, 1, 6, 2]
40    | 3       | 2       | 5     | [0, 1, 6, 2, 3]
41    | 3       | 3       | 6     | [0, 1, 6, 2, 3, 4]
42    | 3       | 4       | 7     | [0, 1, 6, 2, 3, 4, 5]
43    | 3       | 5       | 8     | [0, 1, 6, 2, 3, 4, 5, 10]
44    | 3       | 6       | 9     | [0, 1, 6, 2, 3, 4, 5, 10, 11]
