component,metric,Selected
System,Date,x
System,Time,x
System,EXEC,x
System,IPC,x
System,FREQ,x
System,AFREQ,x
System,CFREQ,x
System,L3MISS,x
System,L2MISS,x
System,L3HIT,x
System,L2HIT,x
System,L3MPI,x
System,L2MPI,x
System,READ,x
System,WRITE,x
System,INST,x
System,ACYC,x
System,TIME(ticks),x
System,PhysIPC,x
System,PhysIPC%,x
System,INSTnom,x
System,INSTnom%,x
System Core C-States,C0res%,x
System Core C-States,C1res%,x
System Core C-States,C3res%,x
System Core C-States,C6res%,x
System Core C-States,C7res%,x
System Pack C-States,C0res%,x
System Pack C-States,C2res%,x
System Pack C-States,C4res%,x
System Pack C-States,C6res%,x
System,Proc Energy (Joules),x
System,Power Plane 0 Energy (Joules),x
System,Power Plane 1 Energy (Joules),x
System,SYSTEM Energy (Joules),x
Socket 0,EXEC,x
Socket 0,IPC,x
Socket 0,FREQ,x
Socket 0,AFREQ,x
Socket 0,CFREQ,x
Socket 0,L3MISS,x
Socket 0,L2MISS,x
Socket 0,L3HIT,x
Socket 0,L2HIT,x
Socket 0,L3MPI,x
Socket 0,L2MPI,x
Socket 0,READ,x
Socket 0,WRITE,x
Socket 0,TEMP,x
Socket 0,INST,x
Socket 0,ACYC,x
Socket 0,TIME(ticks),x
Socket 0,PhysIPC,x
Socket 0,PhysIPC%,x
Socket 0,INSTnom,x
Socket 0,INSTnom%,x
SKT0 Core C-State,C0res%,x
SKT0 Core C-State,C1res%,x
SKT0 Core C-State,C3res%,x
SKT0 Core C-State,C6res%,x
SKT0 Core C-State,C7res%,x
SKT0 Package C-State,C0res%,x
SKT0 Package C-State,C2res%,x
SKT0 Package C-State,C4res%,x
SKT0 Package C-State,C6res%,x
Proc Energy (Joules),SKT0,x
Power Plane 0 Energy (Joules),SKT0,x
Power Plane 1 Energy (Joules),SKT0,x
Core0 (Socket 0),EXEC,x
Core0 (Socket 0),IPC,x
Core0 (Socket 0),FREQ,x
Core0 (Socket 0),AFREQ,x
Core0 (Socket 0),CFREQ,x
Core0 (Socket 0),L3MISS,x
Core0 (Socket 0),L2MISS,x
Core0 (Socket 0),L3HIT,x
Core0 (Socket 0),L2HIT,x
Core0 (Socket 0),L3MPI,x
Core0 (Socket 0),L2MPI,x
Core0 (Socket 0),C0res%,x
Core0 (Socket 0),C1res%,x
Core0 (Socket 0),C3res%,x
Core0 (Socket 0),C6res%,x
Core0 (Socket 0),C7res%,x
Core0 (Socket 0),TEMP,x
Core0 (Socket 0),INST,x
Core0 (Socket 0),ACYC,x
Core0 (Socket 0),TIME(ticks),x
Core0 (Socket 0),PhysIPC,x
Core0 (Socket 0),PhysIPC%,x
Core0 (Socket 0),INSTnom,x
Core0 (Socket 0),INSTnom%,x
Core1 (Socket 0),EXEC,x
Core1 (Socket 0),IPC,x
Core1 (Socket 0),FREQ,x
Core1 (Socket 0),AFREQ,x
Core1 (Socket 0),CFREQ,x
Core1 (Socket 0),L3MISS,x
Core1 (Socket 0),L2MISS,x
Core1 (Socket 0),L3HIT,x
Core1 (Socket 0),L2HIT,x
Core1 (Socket 0),L3MPI,x
Core1 (Socket 0),L2MPI,x
Core1 (Socket 0),C0res%,x
Core1 (Socket 0),C1res%,x
Core1 (Socket 0),C3res%,x
Core1 (Socket 0),C6res%,x
Core1 (Socket 0),C7res%,x
Core1 (Socket 0),TEMP,x
Core1 (Socket 0),INST,x
Core1 (Socket 0),ACYC,x
Core1 (Socket 0),TIME(ticks),x
Core1 (Socket 0),PhysIPC,x
Core1 (Socket 0),PhysIPC%,x
Core1 (Socket 0),INSTnom,x
Core1 (Socket 0),INSTnom%,x
Core2 (Socket 0),EXEC,x
Core2 (Socket 0),IPC,x
Core2 (Socket 0),FREQ,x
Core2 (Socket 0),AFREQ,x
Core2 (Socket 0),CFREQ,x
Core2 (Socket 0),L3MISS,x
Core2 (Socket 0),L2MISS,x
Core2 (Socket 0),L3HIT,x
Core2 (Socket 0),L2HIT,x
Core2 (Socket 0),L3MPI,x
Core2 (Socket 0),L2MPI,x
Core2 (Socket 0),C0res%,x
Core2 (Socket 0),C1res%,x
Core2 (Socket 0),C3res%,x
Core2 (Socket 0),C6res%,x
Core2 (Socket 0),C7res%,x
Core2 (Socket 0),TEMP,x
Core2 (Socket 0),INST,x
Core2 (Socket 0),ACYC,x
Core2 (Socket 0),TIME(ticks),x
Core2 (Socket 0),PhysIPC,x
Core2 (Socket 0),PhysIPC%,x
Core2 (Socket 0),INSTnom,x
Core2 (Socket 0),INSTnom%,x
Core3 (Socket 0),EXEC,x
Core3 (Socket 0),IPC,x
Core3 (Socket 0),FREQ,x
Core3 (Socket 0),AFREQ,x
Core3 (Socket 0),CFREQ,x
Core3 (Socket 0),L3MISS,x
Core3 (Socket 0),L2MISS,x
Core3 (Socket 0),L3HIT,x
Core3 (Socket 0),L2HIT,x
Core3 (Socket 0),L3MPI,x
Core3 (Socket 0),L2MPI,x
Core3 (Socket 0),C0res%,x
Core3 (Socket 0),C1res%,x
Core3 (Socket 0),C3res%,x
Core3 (Socket 0),C6res%,x
Core3 (Socket 0),C7res%,x
Core3 (Socket 0),TEMP,x
Core3 (Socket 0),INST,x
Core3 (Socket 0),ACYC,x
Core3 (Socket 0),TIME(ticks),x
Core3 (Socket 0),PhysIPC,x
Core3 (Socket 0),PhysIPC%,x
Core3 (Socket 0),INSTnom,x
Core3 (Socket 0),INSTnom%,x
Core4 (Socket 0),EXEC,x
Core4 (Socket 0),IPC,x
Core4 (Socket 0),FREQ,x
Core4 (Socket 0),AFREQ,x
Core4 (Socket 0),CFREQ,x
Core4 (Socket 0),L3MISS,x
Core4 (Socket 0),L2MISS,x
Core4 (Socket 0),L3HIT,x
Core4 (Socket 0),L2HIT,x
Core4 (Socket 0),L3MPI,x
Core4 (Socket 0),L2MPI,x
Core4 (Socket 0),C0res%,x
Core4 (Socket 0),C1res%,x
Core4 (Socket 0),C3res%,x
Core4 (Socket 0),C6res%,x
Core4 (Socket 0),C7res%,x
Core4 (Socket 0),TEMP,x
Core4 (Socket 0),INST,x
Core4 (Socket 0),ACYC,x
Core4 (Socket 0),TIME(ticks),x
Core4 (Socket 0),PhysIPC,x
Core4 (Socket 0),PhysIPC%,x
Core4 (Socket 0),INSTnom,x
Core4 (Socket 0),INSTnom%,x
Core5 (Socket 0),EXEC,x
Core5 (Socket 0),IPC,x
Core5 (Socket 0),FREQ,x
Core5 (Socket 0),AFREQ,x
Core5 (Socket 0),CFREQ,x
Core5 (Socket 0),L3MISS,x
Core5 (Socket 0),L2MISS,x
Core5 (Socket 0),L3HIT,x
Core5 (Socket 0),L2HIT,x
Core5 (Socket 0),L3MPI,x
Core5 (Socket 0),L2MPI,x
Core5 (Socket 0),C0res%,x
Core5 (Socket 0),C1res%,x
